review_id,product_id,review_texts,ratings
REV_00001,PROD_012,"Needed a replacement for my old one. I was worried about the sizing, and unfortunately it runs way too small. It's just okay, nothing special.",3
REV_00002,PROD_031,"Saw an ad and decided to treat myself. Wasn't sure if it would match the photos, but it looks exactly the same. Exceeded my expectations.",4
REV_00003,PROD_004,"Needed a replacement for my old one. Wasn't sure if it would match the photos, and the color is definitely off. It's just okay, nothing special.",3
REV_00004,PROD_033,"Got this as a gift. I was worried about the sizing, but it fits perfectly. Highly recommend it to anyone.",4
REV_00005,PROD_032,"Been looking for something like this for weeks. Hesitant about the material, but it feels premium. Great value for the price.",5
REV_00006,PROD_022,"Got this as a gift. Hesitant about the material, but it feels premium. Exceeded my expectations.",4
REV_00007,PROD_036,"Got this as a gift. Wasn't sure if it would match the photos, but it looks exactly the same. Highly recommend it to anyone.",5
REV_00008,PROD_005,"Saw an ad and decided to treat myself. Wasn't sure if it would match the photos, and the color is definitely off. It's just okay, nothing special.",3
REV_00009,PROD_016,"Saw an ad and decided to treat myself. Hesitant about the material, and it does feel a bit cheap. Not worth the price tag.",1
REV_00010,PROD_002,"Been looking for something like this for weeks. Thought it might arrive late, but shipping was fast. Exceeded my expectations.",4
REV_00011,PROD_015,"Got this as a gift. Wasn't sure if it would match the photos, but it looks exactly the same. Highly recommend it to anyone.",4
REV_00012,PROD_009,"Been looking for something like this for weeks. Hesitant about the material, but it feels premium. Absolutely worth the money.",4
REV_00013,PROD_024,"Saw an ad and decided to treat myself. Thought it might arrive late, but shipping was fast. Highly recommend it to anyone.",5
REV_00014,PROD_047,"Been looking for something like this for weeks. Thought it might arrive late, and it actually got delayed by a week. Wouldn't recommend wasting your money.",1
REV_00015,PROD_009,"Got this as a gift. Wasn't sure if it would match the photos, but it looks exactly the same. Highly recommend it to anyone.",4
REV_00016,PROD_013,"Been looking for something like this for weeks. Wasn't sure if it would match the photos, but it looks exactly the same. Absolutely worth the money.",5
REV_00017,PROD_035,"I bought this for an upcoming trip. Wasn't sure if it would match the photos, but it looks exactly the same. Exceeded my expectations.",5
REV_00018,PROD_025,"I bought this for an upcoming trip. Thought it might arrive late, but shipping was fast. Absolutely worth the money.",5
REV_00019,PROD_013,"Got this as a gift. Thought it might arrive late, but shipping was fast. Exceeded my expectations.",5
REV_00020,PROD_018,"Needed a replacement for my old one. Wasn't sure if it would match the photos, but it looks exactly the same. Absolutely worth the money.",4
REV_00021,PROD_039,"Been looking for something like this for weeks. Hesitant about the material, but it feels premium. Great value for the price.",5
REV_00022,PROD_005,"Got this as a gift. Wasn't sure if it would match the photos, but it looks exactly the same. Highly recommend it to anyone.",5
REV_00023,PROD_047,"Got this as a gift. Wasn't sure if it would match the photos, but it looks exactly the same. Highly recommend it to anyone.",5
REV_00024,PROD_031,"Saw an ad and decided to treat myself. Wasn't sure if it would match the photos, but it looks exactly the same. Great value for the price.",5
REV_00025,PROD_015,"Got this as a gift. Wasn't sure if it would match the photos, but it looks exactly the same. Highly recommend it to anyone.",5
REV_00026,PROD_043,"Needed a replacement for my old one. Hesitant about the material, but it feels premium. Exceeded my expectations.",5
REV_00027,PROD_037,"Saw an ad and decided to treat myself. I was worried about the sizing, but it fits perfectly. Absolutely worth the money.",5
REV_00028,PROD_032,"Got this as a gift. Wasn't sure if it would match the photos, but it looks exactly the same. Great value for the price.",5
REV_00029,PROD_023,"Needed a replacement for my old one. Wasn't sure if it would match the photos, but it looks exactly the same. Highly recommend it to anyone.",4
REV_00030,PROD_037,"Saw an ad and decided to treat myself. Wasn't sure if it would match the photos, and the color is definitely off. Not worth the price tag.",1
REV_00031,PROD_016,"I bought this for an upcoming trip. I was worried about the sizing, but it fits perfectly. Absolutely worth the money.",5
REV_00032,PROD_018,"Been looking for something like this for weeks. I was worried about the sizing, but it fits perfectly. Great value for the price.",5
